"","X","draw","alpha","beta","gamma","tau","cause_code","age_code"
"1",19001,1,3.087270815,0.009616687,0.517402626,3.782585593,"cvd_stroke",45
"2",19002,2,24.62661539,0.001844369,0.41874554,5.218885566,"cvd_stroke",45
"3",19003,3,1.99968293,0.002341442,0.92097067,5.638086809,"cvd_stroke",45
"4",19004,4,2.556996389,0.002532687,0.842158339,5.258240762,"cvd_stroke",45
"5",19005,5,3.516356446,0.026049927,0.377494691,4.842088823,"cvd_stroke",45
"6",19006,6,18.97144783,0.013469429,0.214123607,4.33400871,"cvd_stroke",45
"7",19007,7,2.855847189,0.016654255,0.575027936,5.316979064,"cvd_stroke",45
"8",19008,8,15.16650396,0.010916951,0.284297249,2.540749227,"cvd_stroke",45
"9",19009,9,1.775861222,0.012427198,0.662539614,3.744602279,"cvd_stroke",45
"10",19010,10,2.632221437,0.009416754,0.757176522,4.986835251,"cvd_stroke",45
"11",19011,11,2.052756613,0.003489751,0.918322352,5.59441579,"cvd_stroke",45
"12",19012,12,2.689195072,0.005518221,0.915966867,5.682584815,"cvd_stroke",45
"13",19013,13,2.385877131,0.039652095,0.534142498,2.403929735,"cvd_stroke",45
"14",19014,14,3.40672939,0.02170187,0.425274813,4.075408187,"cvd_stroke",45
"15",19015,15,3.840469894,0.050453716,0.277065751,4.881316927,"cvd_stroke",45
"16",19016,16,1.869480626,0.014360497,0.81161196,3.438365013,"cvd_stroke",45
"17",19017,17,6.344687775,0.011540437,0.376647915,4.661089114,"cvd_stroke",45
"18",19018,18,8.644361208,0.016556646,0.312496149,4.066921491,"cvd_stroke",45
"19",19019,19,2.480320839,0.011490036,0.627589214,5.322058214,"cvd_stroke",45
"20",19020,20,26.33264689,0.004419294,0.312373866,2.666126582,"cvd_stroke",45
"21",19021,21,4.65938893,0.015712302,0.418519503,3.644354528,"cvd_stroke",45
"22",19022,22,3.869983526,0.007544078,0.526987546,2.827781418,"cvd_stroke",45
"23",19023,23,2.483568563,0.003666108,0.691925684,3.496641571,"cvd_stroke",45
"24",19024,24,186.92318,0.000682507,0.298875206,4.242945375,"cvd_stroke",45
"25",19025,25,5.087104697,0.008944729,0.436922189,5.521959878,"cvd_stroke",45
"26",19026,26,2.512569127,0.004967742,0.934429734,2.693403877,"cvd_stroke",45
"27",19027,27,10.39768021,0.011417012,0.336152427,3.825834566,"cvd_stroke",45
"28",19028,28,1.950451662,0.013209924,0.760951977,5.754789019,"cvd_stroke",45
"29",19029,29,92.09117218,0.000755441,0.363930358,2.805119354,"cvd_stroke",45
"30",19030,30,2.327758856,0.005744739,0.866669878,5.18539451,"cvd_stroke",45
"31",19031,31,12.77061561,0.018412019,0.246878301,3.655118659,"cvd_stroke",45
"32",19032,32,2.193023812,0.021613555,0.517574973,4.613575394,"cvd_stroke",45
"33",19033,33,2.517328855,0.057713718,0.358414341,3.116784392,"cvd_stroke",45
"34",19034,34,2.396636441,0.018604291,0.546753533,2.600414879,"cvd_stroke",45
"35",19035,35,2.558186024,0.016915042,0.557345342,4.35471102,"cvd_stroke",45
"36",19036,36,2.624842254,0.032076006,0.425166827,4.756284693,"cvd_stroke",45
"37",19037,37,3.126187526,0.017652674,0.513909691,4.228280277,"cvd_stroke",45
"38",19038,38,2.66280979,0.02537953,0.519477266,3.083026877,"cvd_stroke",45
"39",19039,39,27.38993353,0.00338778,0.34168577,4.417935129,"cvd_stroke",45
"40",19040,40,22.69287794,0.009284871,0.265753329,3.785542341,"cvd_stroke",45
"41",19041,41,54.99786491,0.002622954,0.300408574,3.063706254,"cvd_stroke",45
"42",19042,42,33.25029592,0.002226556,0.361302798,4.294984989,"cvd_stroke",45
"43",19043,43,3.848809146,0.021331024,0.377643302,5.325942665,"cvd_stroke",45
"44",19044,44,2.760044904,0.027904194,0.456252546,5.449085073,"cvd_stroke",45
"45",19045,45,2.173352908,0.014324358,0.607099955,4.254252504,"cvd_stroke",45
